gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,average_score,total_score,score_difference,pass
female,group B,bachelor's degree,standard,none,72,72,74,72.66666666666667,218,0,1
female,group C,some college,standard,completed,69,90,88,82.33333333333333,247,21,1
female,group B,master's degree,standard,none,90,95,93,92.66666666666667,278,5,1
male,group A,associate's degree,free/reduced,none,47,57,44,49.333333333333336,148,10,1
male,group C,some college,standard,none,76,78,75,76.33333333333333,229,2,1
female,group B,associate's degree,standard,none,71,83,78,77.33333333333333,232,12,1
female,group B,some college,standard,completed,88,95,92,91.66666666666667,275,7,1
male,group B,some college,free/reduced,none,40,43,39,40.666666666666664,122,3,0
male,group D,high school,free/reduced,completed,64,64,67,65.0,195,0,1
female,group B,high school,free/reduced,none,38,60,50,49.333333333333336,148,22,0
male,group C,associate's degree,standard,none,58,54,52,54.666666666666664,164,-4,1
male,group D,associate's degree,standard,none,40,52,43,45.0,135,12,1
female,group B,high school,standard,none,65,81,73,73.0,219,16,1
male,group A,some college,standard,completed,78,72,70,73.33333333333333,220,-6,1
female,group A,master's degree,standard,none,50,53,58,53.666666666666664,161,3,1
female,group C,some high school,standard,none,69,75,78,74.0,222,6,1
male,group C,high school,standard,none,88,89,86,87.66666666666667,263,1,1
female,group B,some high school,free/reduced,none,18,32,28,26.0,78,14,0
male,group C,master's degree,free/reduced,completed,46,42,46,44.666666666666664,134,-4,1
female,group C,associate's degree,free/reduced,none,54,58,61,57.666666666666664,173,4,1
male,group D,high school,standard,none,66,69,63,66.0,198,3,1
female,group B,some college,free/reduced,completed,65,75,70,70.0,210,10,1
male,group D,some college,standard,none,44,54,53,50.333333333333336,151,10,1
female,group C,some high school,standard,none,69,73,73,71.66666666666667,215,4,1
male,group D,bachelor's degree,free/reduced,completed,74,71,80,75.0,225,-3,1
male,group A,master's degree,free/reduced,none,73,74,72,73.0,219,1,1
male,group B,some college,standard,none,69,54,55,59.333333333333336,178,-15,1
female,group C,bachelor's degree,standard,none,67,69,75,70.33333333333333,211,2,1
male,group C,high school,standard,none,70,70,65,68.33333333333333,205,0,1
female,group D,master's degree,standard,none,62,70,75,69.0,207,8,1
female,group D,some college,standard,none,69,74,74,72.33333333333333,217,5,1
female,group B,some college,standard,none,63,65,61,63.0,189,2,1
female,group E,master's degree,free/reduced,none,56,72,65,64.33333333333333,193,16,1
male,group D,some college,standard,none,40,42,38,40.0,120,2,0
male,group E,some college,standard,none,97,87,82,88.66666666666667,266,-10,1
male,group E,associate's degree,standard,completed,81,81,79,80.33333333333333,241,0,1
female,group D,associate's degree,standard,none,74,81,83,79.33333333333333,238,7,1
female,group D,some high school,free/reduced,none,50,64,59,57.666666666666664,173,14,1
female,group D,associate's degree,free/reduced,completed,75,90,88,84.33333333333333,253,15,1
male,group B,associate's degree,free/reduced,none,57,56,57,56.666666666666664,170,-1,1
male,group C,associate's degree,free/reduced,none,55,61,54,56.666666666666664,170,6,1
female,group C,associate's degree,standard,none,58,73,68,66.33333333333333,199,15,1
female,group B,associate's degree,standard,none,53,58,65,58.666666666666664,176,5,1
male,group B,some college,free/reduced,completed,59,65,66,63.333333333333336,190,6,1
female,group E,associate's degree,free/reduced,none,50,56,54,53.333333333333336,160,6,1
male,group B,associate's degree,standard,none,65,54,57,58.666666666666664,176,-11,1
female,group A,associate's degree,standard,completed,55,65,62,60.666666666666664,182,10,1
female,group C,high school,standard,none,66,71,76,71.0,213,5,1
female,group D,associate's degree,free/reduced,completed,57,74,76,69.0,207,17,1
male,group C,high school,standard,completed,82,84,82,82.66666666666667,248,2,1
male,group E,some college,standard,none,53,55,48,52.0,156,2,1
male,group E,associate's degree,free/reduced,completed,77,69,68,71.33333333333333,214,-8,1
male,group C,some college,standard,none,53,44,42,46.333333333333336,139,-9,1
male,group D,high school,standard,none,88,78,75,80.33333333333333,241,-10,1
female,group C,some high school,free/reduced,completed,71,84,87,80.66666666666667,242,13,1
female,group C,high school,free/reduced,none,33,41,43,39.0,117,8,0
female,group E,associate's degree,standard,completed,82,85,86,84.33333333333333,253,3,1
male,group D,associate's degree,standard,none,52,55,49,52.0,156,3,1
male,group D,some college,standard,completed,58,59,58,58.333333333333336,175,1,1
female,group C,some high school,free/reduced,none,0,17,10,9.0,27,17,0
male,group E,bachelor's degree,free/reduced,completed,79,74,72,75.0,225,-5,1
male,group A,some high school,free/reduced,none,39,39,34,37.333333333333336,112,0,0
male,group A,associate's degree,free/reduced,none,62,61,55,59.333333333333336,178,-1,1
female,group C,associate's degree,standard,none,69,80,71,73.33333333333333,220,11,1
female,group D,some high school,standard,none,59,58,59,58.666666666666664,176,-1,1
male,group B,some high school,standard,none,67,64,61,64.0,192,-3,1
male,group D,some high school,free/reduced,none,45,37,37,39.666666666666664,119,-8,0
female,group C,some college,standard,none,60,72,74,68.66666666666667,206,12,1
male,group B,associate's degree,free/reduced,none,61,58,56,58.333333333333336,175,-3,1
female,group C,associate's degree,standard,none,39,64,57,53.333333333333336,160,25,0
female,group D,some college,free/reduced,completed,58,63,73,64.66666666666667,194,5,1
male,group D,some college,standard,completed,63,55,63,60.333333333333336,181,-8,1
female,group A,associate's degree,free/reduced,none,41,51,48,46.666666666666664,140,10,1
male,group C,some high school,free/reduced,none,61,57,56,58.0,174,-4,1
male,group C,some high school,standard,none,49,49,41,46.333333333333336,139,0,1
male,group B,associate's degree,free/reduced,none,44,41,38,41.0,123,-3,0
male,group E,some high school,standard,none,30,26,22,26.0,78,-4,0
male,group A,bachelor's degree,standard,completed,80,78,81,79.66666666666667,239,-2,1
female,group D,some high school,standard,completed,61,74,72,69.0,207,13,1
female,group E,master's degree,standard,none,62,68,68,66.0,198,6,1
female,group B,associate's degree,standard,none,47,49,50,48.666666666666664,146,2,1
